Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Time period range
200,Learning disability: QOF prevalence (all ages),,,E92000001,England,England,Persons,All ages,,,2014/15,0.444309087,0.442582481,0.446040913,0.441590668,0.447043198,252446,56817654,,,Not compared,Not compared,20140000,,,1y
200,Learning disability: QOF prevalence (all ages),,,E92000001,England,England,Persons,All ages,"CCG deprivation deciles in England (IMD2019, 2021 CCGs)",Most deprived decile,2014/15,0.486712510241264,0.478763021870936,0.494793337450983,0.474237816835887,0.499513700043554,14097,2896371,Aggregated from all known lower geography values,,Higher,Not compared,20140000,,,1y
200,Learning disability: QOF prevalence (all ages),,,E92000001,England,England,Persons,All ages,"CCG deprivation deciles in England (IMD2019, 2021 CCGs)",Second most deprived decile,2014/15,0.529561351687716,0.521494135313357,0.53775268868332,0.516897832383256,0.542533423588889,16216,3062157,Aggregated from all known lower geography values,,Higher,Not compared,20140000,,,1y
200,Learning disability: QOF prevalence (all ages),,,E92000001,England,England,Persons,All ages,"CCG deprivation deciles in England (IMD2019, 2021 CCGs)",Third more deprived decile,2014/15,0.538606771136336,0.530674812017868,0.546656637125028,0.526153728845847,0.55135291922984,17359,3222945,Aggregated from all known lower geography values,,Higher,Not compared,20140000,,,1y
200,Learning disability: QOF prevalence (all ages),,,E92000001,England,England,Persons,All ages,"CCG deprivation deciles in England (IMD2019, 2021 CCGs)",Fourth more deprived decile,2014/15,0.461055284028315,0.454905993408211,0.467287308815952,0.45139712669627,0.470919111118406,21210,4600316,Aggregated from all known lower geography values,,Higher,Not compared,20140000,,,1y
200,Learning disability: QOF prevalence (all ages),,,E92000001,England,England,Persons,All ages,"CCG deprivation deciles in England (IMD2019, 2021 CCGs)",Fifth more deprived decile,2014/15,0.434670633614278,0.428029394685064,0.441414460187337,0.42424572317743,0.445350567704017,16135,3712006,Aggregated from all known lower geography values,,Similar,Not compared,20140000,,,1y
200,Learning disability: QOF prevalence (all ages),,,E92000001,England,England,Persons,All ages,"CCG deprivation deciles in England (IMD2019, 2021 CCGs)",Fifth less deprived decile,2014/15,0.489130104634636,0.483620630467681,0.49470203149814,0.480471627318711,0.497943833828614,29792,6090813,Aggregated from all known lower geography values,,Higher,Not compared,20140000,,,1y
200,Learning disability: QOF prevalence (all ages),,,E92000001,England,England,Persons,All ages,"CCG deprivation deciles in England (IMD2019, 2021 CCGs)",Fourth less deprived decile ,2014/15,0.460551448127109,0.452824713817711,0.468409406500514,0.448427896744026,0.473001210586852,13358,2900436,Aggregated from all known lower geography values,,Higher,Not compared,20140000,,,1y
200,Learning disability: QOF prevalence (all ages),,,E92000001,England,England,Persons,All ages,"CCG deprivation deciles in England (IMD2019, 2021 CCGs)",Third less deprived decile,2014/15,0.417214628954006,0.411057915609153,0.423463163769826,0.407548826002573,0.427108691858122,17309,4148704,Aggregated from all known lower geography values,,Lower,Not compared,20140000,,,1y
200,Learning disability: QOF prevalence (all ages),,,E92000001,England,England,Persons,All ages,"CCG deprivation deciles in England (IMD2019, 2021 CCGs)",Second least deprived decile,2014/15,0.415505439664341,0.410420242852575,0.420653377047673,0.407516022586019,0.423650824252082,25229,6071882,Aggregated from all known lower geography values,,Lower,Not compared,20140000,,,1y
