"Year","Indicator","Region","quin_1","quin_2","quin_3","quin_4","quin_5","avg","ICB_NAME"
2010,"Life_Expectancy_Female","England",83.9523282791364,83.1632770871234,82.2586454606207,81.1889823479451,79.9237224965499,82.2980393065384,NA
2010,"Life_Expectancy_Female","Midlands",83.5324896999277,82.678032407744,81.8972723634102,81.175774883056,80.1239436414825,82.2980393065384,NA
2010,"Life_Expectancy_Female","North East & Yorkshire",83.5903409817156,82.9170862529152,81.7154450594622,80.7223501161737,79.4929874975892,82.2980393065384,NA
2010,"Life_Expectancy_Female","North West",83.5261510876497,82.6484585189635,81.3708381145835,80.2726275717572,78.8025133984985,82.2980393065384,NA
2010,"Life_Expectancy_Female","South East",84.1143544183803,83.2294159661747,82.2620306013623,81.4669886766671,80.952237436395,82.2980393065384,NA
2010,"Life_Expectancy_Female","South West",84.264305002987,83.6535243736443,83.1918791023709,81.861566048083,81.2324785488673,82.2980393065384,NA
2010,"Life_Expectancy_Female","East of England",83.9318760215244,83.2094069574678,82.5575288266493,81.0513697165099,80.1595968047732,82.2980393065384,NA
2010,"Life_Expectancy_Female","London",84.6706067660922,83.9685273613831,83.3261225792475,82.3902848070882,81.5173955818518,82.2980393065384,NA
2010,"Life_Expectancy_Male","South East",80.5473422738639,79.2394806558517,78.1123493936219,76.5636937066629,74.4818277105161,78.1703092246402,NA
2010,"Life_Expectancy_Male","England",80.3914229140691,79.3211538134471,78.1317860956956,76.6607399810211,74.8544552856507,78.1703092246402,NA
2010,"Life_Expectancy_Male","East of England",80.3139887740723,79.302772014197,78.2759871248198,76.7891805276583,75.5891457479569,78.1703092246402,NA
2010,"Life_Expectancy_Male","South West",80.4558269164811,79.6972305835316,78.9323599822903,78.0400359771366,75.2590749805322,78.1703092246402,NA
2010,"Life_Expectancy_Male","Midlands",80.0002670714142,78.9709341843607,77.7281717347992,76.6586440489629,74.6588629001689,78.1703092246402,NA
2010,"Life_Expectancy_Male","North East & Yorkshire",80.1030651332116,79.0735311073181,77.8293666326862,76.4527013448534,74.9072628761047,78.1703092246402,NA
2010,"Life_Expectancy_Male","North West",80.3716880067177,78.9115759970931,77.4533875274171,75.8620351191605,73.7743808119295,78.1703092246402,NA
2010,"Life_Expectancy_Male","London",81.0112585029193,80.2000272124525,79.214331748819,77.6893357385296,76.1774997519294,78.1703092246402,NA
2012,"Life_Expectancy_Female","East of England",84.6909424482353,83.8294670846395,83.1474678255056,82.1777875329236,80.812459321246,83.0195881063956,NA
2012,"Life_Expectancy_Female","London",85.4956189011367,85.0083869679843,84.1292386760145,83.165815464159,82.7040428907371,83.0195881063956,NA
2012,"Life_Expectancy_Female","North West",84.1789181875851,83.2493022401763,82.2452425623158,81.0052739726027,79.6998851942336,83.0195881063956,NA
2012,"Life_Expectancy_Female","South East",84.990975828111,84.0259738452977,82.8950131221452,82.2427666646576,81.2272990766668,83.0195881063956,NA
2012,"Life_Expectancy_Female","Midlands",84.4128700262405,83.5392890743812,82.6312943029667,81.8702978723404,81.085643095861,83.0195881063956,NA
2012,"Life_Expectancy_Female","North East & Yorkshire",84.4149869765578,83.586599290878,82.4061887550201,81.3739011548479,80.3123976956604,83.0195881063956,NA
2012,"Life_Expectancy_Female","England",84.7910604732691,83.9383749656876,82.9081245254366,81.9780236264766,80.7308385283999,83.0195881063956,NA
2012,"Life_Expectancy_Female","South West",84.884067712223,84.4047870637753,83.5149351764175,82.5603126016001,81.4624612202689,83.0195881063956,NA
2012,"Life_Expectancy_Male","East of England",81.0686911332179,79.9567536454336,78.9583276450512,77.5338461538461,76.2068769389865,78.7987489457231,NA
2012,"Life_Expectancy_Male","London",81.5867292386898,80.9349831031442,79.6368158348225,78.4819854721549,77.4801387137453,78.7987489457231,NA
2012,"Life_Expectancy_Male","Midlands",80.5745575213234,79.560725868996,78.4184425413264,77.2467585089141,75.9761351139041,78.7987489457231,NA
2012,"Life_Expectancy_Male","England",81.0033858267717,79.9226222622262,78.749430974765,77.4555146923578,75.8291700903862,78.7987489457231,NA
2012,"Life_Expectancy_Male","North East & Yorkshire",80.3757816735948,79.6226559504467,78.4528008677088,77.017880474449,75.5436615469943,78.7987489457231,NA
2012,"Life_Expectancy_Male","North West",80.7399853453481,79.3986748216107,78.092430591933,76.506510851419,74.7088275462899,78.7987489457231,NA
2012,"Life_Expectancy_Male","South East",81.2374367950214,79.8754659731253,78.584495680036,77.6749041908329,75.7223106572622,78.7987489457231,NA
2012,"Life_Expectancy_Male","South West",80.887817842264,80.2738233871505,79.4151564007416,78.1401103912353,76.2314448940729,78.7987489457231,NA
2014,"Life_Expectancy_Female","England",84.9095297243639,84.0673391323961,83.1024040404221,82.0176186645213,80.8054129712802,83.3548112058465,NA
2014,"Life_Expectancy_Female","North East & Yorkshire",84.3771737660581,83.6348164627364,82.5687510886605,81.4716565129098,80.5600165166446,83.3548112058465,NA
2014,"Life_Expectancy_Female","South East",85.0437942448044,84.2006293469259,83.1225225225225,82.351257494217,81.2136464333186,83.3548112058465,NA
2014,"Life_Expectancy_Female","South West",84.931834243495,84.5098722865143,83.697347848485,83.2509612393193,81.7532842879664,83.3548112058465,NA
2014,"Life_Expectancy_Female","Midlands",84.680666744348,83.6751573138592,82.8487049263586,82.0379403794038,81.0700257869488,83.3548112058465,NA
2014,"Life_Expectancy_Female","North West",84.1221736202347,83.478870412844,82.2953631514157,81.2138659292921,79.9966228070175,83.3548112058465,NA
2014,"Life_Expectancy_Female","East of England",85.008852461855,84.1574023614896,83.4612927470876,82.8582390812598,81.0785229510528,83.3548112058465,NA
2014,"Life_Expectancy_Female","London",85.2840934497162,85.1593370165746,84.2851694915254,83.4394735875441,83.3297797638047,83.3548112058465,NA
2014,"Life_Expectancy_Male","England",81.2845671758715,80.3123208058892,79.090910630468,77.7935881104034,76.3045932312153,79.4373568131304,NA
2014,"Life_Expectancy_Male","South West",81.2615384615385,80.4943319240073,79.7264703067857,78.9192951149447,76.393678722711,79.4373568131304,NA
